
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.802
  alpha =   -5.052    CLtot =    0.576
  beta  =    0.000

  Sref  =   267.34799
  Bref  =    47.30940
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.286140         0.601658E-01
    0.0333  0.272483         0.554871E-01
    0.1000  0.245529         0.468098E-01
    0.1666  0.219467         0.390207E-01
    0.2332  0.194636         0.320840E-01
    0.2999  0.171387         0.259527E-01
    0.3702  0.148619         0.202925E-01
    0.4443  0.125992         0.151780E-01
    0.5184  0.104304         0.108888E-01
    0.5925  0.836660E-01     0.738792E-02
    0.6666  0.642121E-01     0.463374E-02
    0.7407  0.460913E-01     0.257937E-02
    0.8148  0.294934E-01     0.117163E-02
    0.8889  0.147385E-01     0.347827E-03
    0.9630  0.262477E-02     0.244427E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.286140        -0.601658E-01
   -0.0333  0.272483        -0.554871E-01
   -0.1000  0.245529        -0.468098E-01
   -0.1666  0.219467        -0.390207E-01
   -0.2332  0.194636        -0.320840E-01
   -0.2999  0.171387        -0.259527E-01
   -0.3702  0.148619        -0.202925E-01
   -0.4443  0.125992        -0.151780E-01
   -0.5184  0.104304        -0.108888E-01
   -0.5925  0.836660E-01    -0.738792E-02
   -0.6666  0.642121E-01    -0.463374E-02
   -0.7407  0.460913E-01    -0.257937E-02
   -0.8148  0.294934E-01    -0.117163E-02
   -0.8889  0.147385E-01    -0.347827E-03
   -0.9630  0.262477E-02    -0.244427E-04
   -1.0000   0.00000          0.00000    
